AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,61419,DELIGOMIS GUSANOS,1,,0,50,20,30,40,0.024,15,625,,,DESPACHO LOCAL ARTICULO,
,61422,ZAMBITO LA UNIVERSAL,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,61426,TROLLI GOMAS PULPOS,1,2.05E+12,0,70,20,30,40,0.024,6,250,,,DESPACHO LOCAL ARTICULO,
,61427,TROLLI GOMAS SURTIDAS,1,2.05E+12,0,60,20,30,40,0.024,6,250,,,DESPACHO LOCAL ARTICULO,
,61428,TANGO BOMBON,1,2.78611E+13,0,80,25,18,40,0.018,6,333.333,,,DESPACHO LOCAL ARTICULO,
,61429,SKITTLES GRANEL,1,40000140924,0,40,20,35,40,0.028,8,285.714,,,DESPACHO LOCAL ARTICULO,
,61441,KATABOOM CHUPETES,4,,0,40,20,32,46,0.02944,10,339.673,,,DESPACHO LOCAL ARTICULO,
,61442,CONFITECA CARAMELO NAVIDENO,1,1.7861E+13,0,40,25,30,40,0.03,10,333.333,,,DESPACHO LOCAL ARTICULO,
,61591,ECUAGOLOSINAS CHUPETES,1,,0,200,20,25,35,0.0175,10,571.428,,,DESPACHO LOCAL ARTICULO,
,61592,ECUAGOLOSINAS CARAMELO MANJAR,1,7.86108E+12,0,200,25,25,40,0.025,10,400,,,DESPACHO LOCAL ARTICULO,
,61593,TOFFY COCO LA UNIVERSAL,1,7.86211E+13,0,40,25,30,35,0.02625,10,380.952,,,DESPACHO LOCAL ARTICULO,
,61594,HUEVITOS LA UNIVERSAL,1,1.78621E+13,0,40,25,25,25,0.015625,12,768,,,DESPACHO LOCAL ARTICULO,
,61595,COLOMBINA MILLOWS INDIVIDUALES,1,1.7702E+13,0,100,30,30,40,,5,,,,DESPACHO LOCAL ARTICULO,
,61747,AGOGO CHICLE SURTIDO EMPACADO,1,,0,200,0,0,0,0,0,0,,,DESPACHO LOCAL ARTICULO,
,61748,AMERICAN TOFFE SURTIDO EMPACADO,1,,0,200,25,25,42,0.02625,20,761.904,,,DESPACHO LOCAL ARTICULO,
,61749,NESTLE VICTORIA LIMON GALLETAS EMPACADAS,1,,0,200,5,5,10,0.00025,5,20000,,,DESPACHO LOCAL ARTICULO,
,61750,ECUAGOLOSINAS CARAMELO SURTIDO EMPACADO,1,,0,50,20,20,30,0.012,10,833.333,,,DESPACHO LOCAL ARTICULO,
,61751,TROPICAL CARAMELO EMPACADO,1,,0,200,20,25,30,0.015,40,2666.666,,,DESPACHO LOCAL ARTICULO,
