AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,7.861E+12,CORFRUIT ALMENDRAS,24,2.7861E+13,0,96,18,26.4,29.2,0.01387584,5.46,393.489,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,CORFRUIT NUECES.,24,2.7861E+13,0,90,15.6,30.2,40,0.0188448,5.42,287.612,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,CORFRUIT CIRUELA SIN PEPA,24,2.7861E+13,0,90,16,25.6,39,0.0159744,10.3,644.781,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,CORFRUIT NUECES.,24,3.7861E+13,0,60,19.4,32.8,48.2,0.03067062,10.4,339.086,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,HISPANAMUR PEPAS E PELADAS SIX PACK,10,2.7861E+13,0,300,12.4,16.6,21.6,0.00444614,1.06,238.409,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,FRUMIX PINA/MANI/NUEZ/ALMENDRA,25,1.7861E+13,0,100,12.6,26,45.6,0.01493856,5.36,358.802,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,DISFRUTY BANANO DESHIDRATADO,24,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,DISFRUTY PINA DESHIDRATADA,24,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,FRUMIX PINA/NUECES,25,1.7861E+13,0,100,12.6,26,45.8,0.01500408,2.86,190.614,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,DEL SUR PASAS,24,1.7861E+13,0,40,24.2,29.4,36.6,0.02604017,5.42,208.139,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,DEL SUR NUEZ,24,1.7861E+13,0,50,25,30.8,37,0.02849,4.32,151.632,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,PALORA PITAHAYA DESHIDRATADA,12,1.7861E+13,0,60,17.6,23.8,27.8,0.01164486,1.12,96.179,,,DESPACHO LOCAL ARTICULO,
,7.861E+12,PITACAVA PITAHAYA DESHIDRATADA,24,1.7861E+13,0,60,23.6,23,36.8,0.01997504,2.96,148.184,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,QAWI SUPER SNACK DE FRUTAS,15,1.7861E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,SCHULLO ALMENDRAS/ AZUCAR MORENA,40,1.7861E+13,0,100,14.6,21,28.8,0.00883008,1.78,201.583,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,SCHULLO MACADAMIA /SAL SIN FLUOR,40,1.7861E+13,0,100,13,21.2,28.8,0.00793728,1.58,199.06,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,SCHULLO MACADAMIA /SAL SIN FLUOR,60,1.7861E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,SCHULLO ALMENDRAS/ AZUCAR MORENA,40,1.7861E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,EL SABOR PASAS,50,2.7861E+13,0,50,27,31.4,49,0.0415422,23.44,564.245,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,EL SABOR CIRUELA SIN SEMILLA,50,2.7861E+13,0,63,21.4,32.2,41.2,0.02839009,15.7,553.009,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,EL SABOR FRUTA CONFITADA,50,1.7861E+13,0,50,35,40,25,0.035,7,200,,,DESPACHO LOCAL ARTICULO,
,7.86101E+12,EL SABOR NUEZ PELADA,25,1.7861E+13,0,40,22.8,30,39.8,0.0272232,6.96,255.664,,,DESPACHO LOCAL ARTICULO,
,7.86102E+12,SOLEG PASAS,30,1.7861E+13,0,45,21.6,33.4,38.4,0.0277033,8.08,291.662,,,DESPACHO LOCAL ARTICULO,
,7.86102E+12,SOLEG CIRUELAS,30,1.7861E+13,0,45,21.6,33.2,38.8,0.02782426,9.56,343.585,,,DESPACHO LOCAL ARTICULO,
,7.86102E+12,DON YAKA PASAS,40,2.7861E+13,0,80,23.4,25.6,24.6,0.01473638,8.42,571.375,,,DESPACHO LOCAL ARTICULO,
,7.86102E+12,DON YAKA HER S PASAS,20,2.7861E+13,0,100,24,25.2,24.8,0.01499904,8.4,560.035,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES CON CASCARA,12,2.7861E+13,0,100,22.6,30.4,44.2,0.03036716,6.48,213.388,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.NUECES CON CASCARA,12,2.7861E+13,0,100,24.8,29.6,42.6,0.0312718,6.38,204.017,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.FRUIT MIX,24,1.7861E+13,0,70,21.2,23.2,32.4,0.01593561,3.96,248.5,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.ALMENDRAS DOY PACK,24,1.7861E+13,0,100,14.8,28,39.6,0.01641024,4.02,244.968,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELA CON SEMILLA.,24,1.7861E+13,0,100,15,27.6,39.2,0.0162288,4.04,248.94,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELA SIN SEMILLA,24,1.7861E+13,0,100,14.6,27.6,40,0.0161184,4.06,251.886,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.FRUIT&NUT MIX,24,1.7861E+13,0,70,14.6,27.8,40,0.0162352,4.06,250.073,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES PELADAS,24,1.7861E+13,0,177,15,28,39.4,0.016548,3.96,239.303,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUT MIX,24,1.7861E+13,0,100,15,27.6,39.8,0.0164772,4.02,243.973,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PASAS DOY PACK,24,1.7861E+13,0,100,15,27.4,39.8,0.0163578,4.12,251.867,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PISTACHOS DOY PACK,24,1.7861E+13,0,100,20.8,23.2,33.8,0.01631052,4.06,248.919,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PISTACHOS DOY PACK,18,1.7861E+13,0,60,24.4,29,42.2,0.02986072,6.82,228.393,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.ALMENDRAS,18,1.7861E+13,0,180,15.2,27.8,40,0.0169024,6.84,404.676,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELAS S/SEMILLA DOY PACK,18,1.7861E+13,0,80,14.6,27.4,40,0.0160016,6.76,422.457,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PASAS DOY PACK,18,1.7861E+13,0,80,15,27.4,39.6,0.0162756,6.74,414.116,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES PELADAS,18,1.7861E+13,0,60,20.2,31,40.6,0.02542372,6.78,266.68,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.FRUIT MIX.,18,1.7861E+13,0,60,15,27.8,40.2,0.0167634,6.74,402.066,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUT MIX,18,1.7861E+13,0,80,15.2,28.4,40,0.0172672,6.74,390.335,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.ALMENDRAS DOY PACK,24,1.7861E+13,0,201,14.6,29.2,39.8,0.01696753,3.98,234.565,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.CIRUELAS CON SEMILLA,24,1.7861E+13,0,70,15,28,39.6,0.016632,4.06,244.107,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.CIRUELA S/SEMILLA,24,1.7861E+13,0,120,15.2,27.4,40,0.0166592,4.02,241.308,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.PASAS,24,1.7861E+13,0,150,15.6,27.4,39.4,0.01684114,4.08,242.263,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.NUECES PELADAS,24,1.7861E+13,0,90,14.8,28.2,39.6,0.01652745,4.04,244.441,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.FRUIT&NUT MIX,24,1.7861E+13,0,120,14.6,27.8,40,0.0162352,4.02,247.61,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.ARANDANOS(CRAMBERRY),24,1.7861E+13,0,120,14,28.6,40.2,0.01609608,4.06,252.235,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELAS SIN SEMILLA-CAJA,12,1.7861E+13,0,300,14.6,27.8,40,0.0162352,5.28,325.219,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PASAS SIX PACK - CAJA,6,1.7861E+13,0,200,13.6,23.8,26.8,0.00867462,1.74,200.585,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PASAS - CAJA,12,1.7861E+13,0,200,14.8,27.8,39.6,0.01629302,5.38,330.202,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PASAS TARRINA GRANDE TF,6,1.7861E+13,0,100,15,27.2,39.8,0.0162384,3.88,238.939,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES TARRINA GRANDE TF,6,1.7861E+13,0,100,15,27.4,39.6,0.0162756,2.48,152.375,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELAS CON PEPA TARRINA GRANDE TF,6,1.7861E+13,0,100,15,27.6,39.8,0.0164772,4.16,252.47,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELAS SIN PEPA TARRINA GRANDE TF,6,1.7861E+13,0,100,14.8,27.8,39.8,0.01637531,4.16,254.04,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PISTACHOS TARRINA GRANDE TF,6,1.7861E+13,0,100,15,27.4,39.6,0.0162756,3.08,189.24,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.ALMENDRAS TARRINA GRANDE TF,6,1.7861E+13,0,100,22.6,29.8,44.8,0.0301719,3.98,131.91,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PASAS TARRINA PEQUENA TF,12,1.7861E+13,0,100,14.6,27.6,39.6,0.01595721,3.44,215.576,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES TARRINA PEQUENA TF,12,1.7861E+13,0,100,14.8,27.4,40,0.0162208,2.5,154.123,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELA CON PEPA TARRINA PEQUENA TF,12,1.7861E+13,0,100,14.8,27.4,39.8,0.01613969,3.42,211.899,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.CIRUELA SIN PEPA TARRINA PEQUENA TF,12,1.7861E+13,0,100,14.8,28.4,39.6,0.01664467,3.42,205.471,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.PISTACHOS TARRINA PEQUENA TF,12,1.7861E+13,0,100,15,28.2,39.8,0.0168354,2.52,149.684,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.ALMENDRAS TARRINA PEQUENA TF,12,1.7861E+13,0,100,15,27.6,39.6,0.0163944,3.44,209.827,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.PASAS TARRINA PEQUENA TF,12,1.7861E+13,0,100,10,25,35,0.00875,2,228.571,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.NUECES TARRINA PEQUENA TF,12,1.7861E+13,0,100,10,25,35,0.00875,2,228.571,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.CIRUELA CON PEPA TARRINA PEQUENA TF,12,1.7861E+13,0,100,10,25,35,0.00875,2,228.571,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.CIRUELA SIN PEPA TARRINA PEQUENA TF,12,1.7861E+13,0,100,10,25,35,0.00875,2,228.571,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.PISTACHOS TARRINA PEQUENA TF,12,1.7861E+13,0,70,15,25,40,0.015,3,200,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,AK.ALMENDRAS TARRINA PEQUENA TF,12,1.7861E+13,0,100,10,25,35,0.00875,2,228.571,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES MIXTAS,24,1.7861E+13,0,75,14.8,27.8,39.8,0.01637531,4.06,247.934,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.NUECES MIXTAS,18,1.7861E+13,0,50,21.6,31.6,45.4,0.03098822,6.86,221.374,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.TRAIL MIX,24,1.7861E+13,0,75,14.8,28,39.8,0.01649312,4.06,246.163,,,DESPACHO LOCAL ARTICULO,
,7.86104E+12,SX.TRAIL MIX,18,1.7861E+13,0,50,15,27.8,40,0.01668,6.7,401.678,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PASAS,30,1.7861E+13,0,40,25.4,28.2,39.6,0.02836468,13,458.316,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PASAS,40,1.7861E+13,0,150,21.4,26,41,0.0228124,9.9,433.974,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PASAS,20,2.7861E+13,0,70,21.2,26.8,40.8,0.02318092,8.3,358.053,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PASAS,30,1.7861E+13,0,50,14,31.2,45.8,0.02000544,5.8,289.921,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS,30,2.7861E+13,0,72,22,26.8,40.6,0.02393776,7.66,319.996,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA CIRUELAS,30,1.7861E+13,0,50,27.2,28,38.8,0.02955008,13.08,442.638,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA NUECES CON CASCARA,25,1.7861E+13,0,51,26,31.6,49.8,0.04091568,10.64,260.047,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PISTACHOS,36,1.7861E+13,0,40,26.6,28.2,39.4,0.02955472,7.42,251.059,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA NUEZ PELADA,12,1.7861E+13,0,72,19,35,35,0.023275,5,214.822,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA CIRUELA SIN SEMILLA,30,1.7861E+13,0,40,26,28.4,39.2,0.02894528,12.98,448.432,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA CIRUELA SIN SEMILLA,50,1.7861E+13,0,45,26.4,28.4,39.2,0.02939059,13.28,451.845,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS,30,1.7861E+13,0,80,21,25.8,40.4,0.02188872,6.36,290.56,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PISTACHOS,30,1.7861E+13,0,50,21.4,27.2,40.6,0.02363244,6.4,270.814,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA CIRUELA SIN PEPA,50,1.7861E+13,0,50,26.4,29.2,38.8,0.02991014,10.94,365.762,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA NUECES PELADAS,30,1.7861E+13,0,50,27,28.8,38.6,0.03001536,6.46,215.223,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PASAS,30,2.7861E+13,0,80,15.6,25.4,39.6,0.0156911,6.52,415.522,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS R24,360,,0,50,25,40,40,,15,,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS R24,480,2.7861E+13,0,50,24.6,43,46.6,0.04929348,12.14,246.28,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA TOSTADA SALADA,25,1.7861E+13,0,80,21.4,18.4,19.6,0.00771769,1.12,145.121,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA TOSTADA SALADA,25,1.7861E+13,0,100,22.6,24,38.6,0.02093664,5.42,258.876,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA LAMINADA,25,1.7861E+13,0,80,15.8,26,37.8,0.01552824,1.4,90.158,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA TOSTADA SALADA TARRO,24,1.7861E+13,0,60,22.6,23.6,39,0.02080104,6.4,307.676,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA GOURMET SAL,10,1.7861E+13,0,30,25,26,30,0.0195,6,307.692,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA AHUMADA,25,1.7861E+13,0,100,17,26.2,28.8,0.01282752,4.32,336.775,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA PELADA,20,1.7861E+13,0,60,23,23.8,38.8,0.02123912,3.64,171.381,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA PISTACHO AHUMADO,20,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRA TARRINA,20,1.7861E+13,0,60,21.4,26.4,40.4,0.02282438,3.66,160.354,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS,25,1.7861E+13,0,200,17.4,26,29.2,0.01321008,4.02,304.313,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS AHUMADAS,24,1.7861E+13,0,34,22.8,23.8,38.4,0.02083737,6.12,293.703,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA CEREZAS INFUSIONADAS,20,1.7861E+13,0,50,17,28.2,40.6,0.01946364,5.34,274.357,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA FRAMBRUESAS DESHIDRATADAS,20,1.7861E+13,0,40,17.6,28.8,41.2,0.02088346,5.12,245.17,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA BLUEBERRIES INFUSIONADAS,20,1.7861E+13,0,50,17.2,28.6,40.8,0.02007034,5.14,256.099,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ARANDANOS DESHIDRATADOS,20,1.7861E+13,0,50,18,25,40,0.018,5,277.777,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA CASHEW TOSTADO Y SALADO,36,1.7861E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA MIX FRUTAS TROPICALES DESHIDRATADOS,20,1.7861E+13,0,50,27.6,28,39,0.0301392,4.44,147.316,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS NISHIKAWA,24,1.7861E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86105E+12,BONANZA ALMENDRAS JALAPENAS,24,1.7861E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86114E+12,MAQUITA PINA DESHIDRATADA,20,1.78611E+13,0,200,13,18.8,36.2,0.00884728,1.28,144.677,,,DESPACHO LOCAL ARTICULO,
,7.86114E+12,REY MACADAMIA CONFITADA DOYPACK,36,1.78611E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86114E+12,REY MACADAMIA CON PASAS DOYPACK,36,1.78611E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86118E+12,SALINERITO MIX FRUTAS,30,1.78612E+13,0,60,20.8,23.2,44.8,0.02161869,2,92.512,,,DESPACHO LOCAL ARTICULO,
,7.8621E+12,REY MACADAMIA,48,1.78621E+13,0,50,17.6,29.8,43.6,0.02286733,6.98,305.238,,,DESPACHO LOCAL ARTICULO,
,7.8621E+12,REY MACADAMIA CON SAL,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.8621E+12,SOLRAM FRUTA DESHIDRATADA MIXTA,10,1.78621E+13,0,80,14.6,29.6,43.6,0.01884217,2.8,148.602,,,DESPACHO LOCAL ARTICULO,
,7.8621E+12,SOLRAM FRUTA DESIDRATADA MIXTA,15,1.78621E+13,0,80,14.6,29.4,43.4,0.01862902,2.76,148.155,,,DESPACHO LOCAL ARTICULO,
,7.8621E+12,SCORPII MIX FRUTAS SECAS,24,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,EL EDEN SEM/GIRASOL PELADO,12,1.78621E+13,0,100,16.8,18.4,25.4,0.00785164,1.42,180.853,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART WILD BERRY MIX,12,1.78621E+13,0,140,13.8,23.8,27,0.00886788,1.18,133.064,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ARANDANOS,15,1.78621E+13,0,200,12,7.8,23,0.0021528,0.34,157.933,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART SOCIALITE,12,1.78621E+13,0,120,12,20,22,0.00528,5,946.969,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART PASAS DOY PACK,12,1.78621E+13,0,70,14,28.2,40,0.015792,6.46,409.067,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART CIRUELA SIN PEPA DOY PACK,12,1.78621E+13,0,80,15,20,25,0.0075,12,1600,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART HAPPY HOUR MIX 165 g,12,1.78621E+13,0,150,10,25,30,0.0075,5,666.666,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART NUEZ,6,1.78621E+13,0,120,14.4,23.4,34.6,0.01165881,3.48,298.486,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART FRUTOS SECOS,6,1.78621E+13,0,91,14.2,23.4,35,0.0116298,3.2,275.155,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART FRUTA DESHIDRATADA Y NUEZ,6,1.78621E+13,0,100,14.8,23.6,34.8,0.01215494,3.2,263.267,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ARANDANO,6,1.78621E+13,0,330,13.8,23.6,27,0.00879336,1.8,204.699,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ALMENDRA TARRO,6,1.78621E+13,0,100,15,20,30,0.009,1,111.111,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ARANDANO DELEITE,6,1.78621E+13,0,100,14.6,23.8,34.8,0.0120923,3.54,292.748,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ALMENDRAS,12,1.78621E+13,0,200,13.8,23.6,27.2,0.00885849,2.44,275.441,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART PASAS,12,1.78621E+13,0,150,13.8,23.6,26.8,0.00872822,2.44,279.552,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART NUECES,12,1.78621E+13,0,150,14,24,27,0.009072,2.42,266.754,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART NUEZ PECANA,12,1.78621E+13,0,60,13.8,24.6,26.8,0.00909806,2.44,268.189,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART PASSION CHERRY,12,1.78621E+13,0,130,6,5,4,0.00012,7,58333.333,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART WILD BLUEBERRY,12,1.78621E+13,0,130,13.6,23.6,27,0.00866592,1.4,161.552,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART FUN TRAIL MIX,12,1.78621E+13,0,126,13.4,23.8,26.6,0.00848327,1.4,165.03,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART TRAIL MIX,12,1.78621E+13,0,90,13.6,23.8,26.8,0.00867462,1.38,159.084,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART NUEZ DE BRASIL,12,1.78621E+13,0,60,14.4,23.8,27,0.00925344,2.44,263.685,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ALMENDRAS REBANADAS,12,1.78621E+13,0,300,4,3,2,0.000024,5,208333.333,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,PACK NATURES HEART FRUTAS SECAS,12,1.78621E+13,0,120,15,27.6,39.8,0.0164772,1.94,117.738,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,PACK NATURES HEART FUSION,12,1.78621E+13,0,150,15,27.6,39.8,0.0164772,2.5,151.724,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART AVELLANAS,16,1.78621E+13,0,60,15,28,40,0.0168,4,238.095,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ALMENDRA,16,1.78621E+13,0,80,14.8,27.6,39.8,0.0162575,2.46,151.314,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART FRUIT MIX,16,1.78621E+13,0,100,15,27.6,40,0.01656,2.32,140.096,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,ORG NATURES HEART MANGO,16,1.78621E+13,0,70,14.4,27.6,39.8,0.01581811,1.92,121.379,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART NUECES,16,1.78621E+13,0,100,14.6,27.6,40,0.0161184,2.12,131.526,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART PINA,16,1.78621E+13,0,70,15,27.8,40.2,0.0167634,1.88,112.149,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART PISTACHOS,16,1.78621E+13,0,100,15.4,27.5,39.8,0.0168553,2.18,129.336,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,ORG NATURES HEART UVILLA,16,1.78621E+13,0,100,14.8,27.6,40,0.0163392,2.12,129.749,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART ARANDANOS,16,1.78621E+13,0,70,14.8,27.8,41,0.01686904,2.48,147.014,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART TROPICAL MIX,16,1.78621E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART DATILES,16,1.78621E+13,0,100,14.6,27.6,40.2,0.01619899,2.12,130.872,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART CINNAMON PECAN TWIST,84,1.78621E+13,0,,24.6,29,42.8,0.03053352,3.82,125.108,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART RED FRUITS VAINILLA NUTS,84,1.78621E+13,0,,24,28.6,42.8,0.02937792,4.06,138.199,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,ORG NATURES  HEART DISPLAY MANGO,84,1.78621E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES  HEART DISPLAY UVILLA CONFITADA,84,1.78621E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,NATURES HEART DISPLAY ALMENDRA SAL,84,1.78621E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,DIMCOFRUT NUEZ PECANA SIN CASCARA,12,1.78621E+13,0,150,14.2,27.4,39.8,0.01548538,2.84,183.398,,,DESPACHO LOCAL ARTICULO,
,7.86211E+12,DIMCOFRUT DAMASCOS DESHIDRATADOS,12,1.78621E+13,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
