CODIGOARTICULO;CODIGOCLASIFICACION
1003899;1604
1003900;1704
1003901;1704
1003902;1704
1003903;1704
1003904;1704
1003905;1704
1003906;1704
1003910;1072
1003912;1036
1003913;3023
1003914;1606
1003921;1704
1003922;1704
1003923;1704
1003925;1606
1003926;1606
1003930;1338
1004008;1704
1004011;1704
1004013;1704
1004014;1606
1004015;1704
1004017;1704
1004018;1704
1004019;1704
1004126;1122
1004157;1606
1004644;3102
1004645;3102
1004683;1606
1004684;1606
1004685;1606
1004686;1606
1004687;1074
1004688;1074
1004689;1068
1004690;1078
1004691;1078
1004692;1078
1004693;1078
1004694;1026
1004741;4144
1004742;4144
1004744;4144
1004745;4144
1004747;1606
1004748;1606
1004754;1606
1004756;1606
1004757;3015
1004758;1606
1004913;1606
1005582;1148
1005583;1148
1005584;1148
1005585;1148
1005586;1148
1005587;1148
1005588;1142
1005589;1142
1005590;1142
1005591;1142
1005592;1118
1005593;1118
1005594;1118
1005595;1606
1005596;1118
1005597;1142
1005598;1142
1005599;1606
1005601;3110
1005609;1606
1005610;1606
1005619;1606
1005620;1606
1005822;1118
1005824;1606
1005825;1606
1005827;1118
1005908;4138
1005916;1606
1005917;1606
1005918;1606
1005922;1606
1006125;1606
1006429;1010
1006430;1010
1006431;1010
1006432;1606
1006612;1606
1006613;1606
1006614;1606
1006615;1606
1006616;1606
1006623;1606
1006628;1606
1006635;1606
1006677;1340
1006678;1334
1006680;1190
1006696;1606
1006697;1606
1006698;1606
1006699;3018
1006700;3018
1006701;3018
1006707;1606
1006708;1606
1006709;1606
1006713;1148
1006714;1606
1006715;1148
1006717;1606
1006722;1148
1006723;1606
1006725;3102
1006726;3102
1006727;3102
1006728;1148
1006730;3102
1006731;3102
1006732;3102
1006733;3102
1006734;3102
1006735;3102
1006753;3102
1006757;3102
1006758;1606
1006781;1606
1006807;1606
1006808;1606
1006809;1606
1006810;1606
1006811;1606
1006812;1606
1006819;1606
1006820;1606
1006821;1326
1006822;1704
1006823;1704
1006824;1704
1006825;1704
1006826;1704
1006827;1704
1006828;1704
1006829;1704
1006830;1704
1006831;1704
1006832;1704
1006833;1704
1006834;1704
1006835;1704
1006836;1704
1006837;1704
1006838;1704
1006839;1704
1006840;1704
1006842;3004
1006843;1704
1006844;1704
1006845;1704
1006859;1126
1006860;1126
1006861;1704
1006863;1126
1006864;1126
1006865;1704
1006869;1302
1006870;1302
1006875;1704
1006876;1704
1006877;1334
1006881;1336
1006883;1338
1006884;1606
1007033;1606
1007061;1704
1007062;1704
1007063;1606
1007064;1704
1007066;1704
1007067;1704
1007068;1704
100719;1702
100720;1702
1007206;3040
100721;1702
100722;1702
100723;1702
100724;1702
100725;1702
100726;1702
100727;1702
1007277;1606
100729;1702
100730;1702
100731;1702
1007334;1606
1007335;1606
1007342;3106
1007343;1606
1007344;1606
1007345;1606
1007346;1606
1007347;1606
1007349;1606
1007350;1606
1007351;3018
1007352;1606
